p1,p2,p3,SIZE,SIZE^3,非重複数,重複要素数,重複率,非重複数（mod S^3 * 3）,重複数（mod S^3 *3）,重複率（mod S^3 * 3）
7,11,13,100,1000000,3038,996962,99.6962,3038,996962,99.6962
7,11,101,100,1000000,11722,988278,98.8278,11722,988278,98.8278
7,11,199,100,1000000,21424,978576,97.8576,21424,978576,97.8576
7,11,211,100,1000000,22612,977388,97.7388,22612,977388,97.7388
7,11,307,100,1000000,32116,967884,96.7884,32116,967884,96.7884
7,11,401,100,1000000,41422,958578,95.8578,41422,958578,95.8578
7,11,503,100,1000000,51520,948480,94.848,51520,948480,94.848
7,11,601,100,1000000,61222,938778,93.8778,61222,938778,93.8778
7,11,701,100,1000000,71122,928878,92.8878,71122,928878,92.8878
7,11,809,100,1000000,81814,918186,91.8186,81814,918186,91.8186
7,11,907,100,1000000,91516,908484,90.8484,91516,908484,90.8484
7,11,991,100,1000000,99832,900168,90.0168,99832,900168,90.0168
7,11,997,100,1000000,100426,899574,89.9574,100426,899574,89.9574
7,11,1009,100,1000000,101614,898386,89.8386,101614,898386,89.8386
7,11,1511,100,1000000,151312,848688,84.8688,151312,848688,84.8688
7,11,1999,100,1000000,172300,827700,82.77,172300,827700,82.77
7,11,2003,100,1000000,172300,827700,82.77,172300,827700,82.77
7,11,2503,100,1000000,172300,827700,82.77,172300,827700,82.77
7,11,3001,100,1000000,172300,827700,82.77,172300,827700,82.77
7,11,4001,100,1000000,172300,827700,82.77,172300,827700,82.77
7,11,5003,100,1000000,172300,827700,82.77,172300,827700,82.77
7,11,6007,100,1000000,172300,827700,82.77,172300,827700,82.77
7,11,7001,100,1000000,172300,827700,82.77,172300,827700,82.77
7,11,8009,100,1000000,172300,827700,82.77,172300,827700,82.77
7,11,9001,100,1000000,172300,827700,82.77,172300,827700,82.77
7,11,10007,100,1000000,172300,827700,82.77,172300,827700,82.77
7,13,11,100,1000000,3038,996962,99.6962,3038,996962,99.6962
7,13,101,100,1000000,11908,988092,98.8092,11908,988092,98.8092
7,13,199,100,1000000,21610,978390,97.839,21610,978390,97.839
7,13,211,100,1000000,22798,977202,97.7202,22798,977202,97.7202
7,13,307,100,1000000,32302,967698,96.7698,32302,967698,96.7698
7,13,401,100,1000000,41608,958392,95.8392,41608,958392,95.8392
7,13,503,100,1000000,51706,948294,94.8294,51706,948294,94.8294
7,13,601,100,1000000,61408,938592,93.8592,61408,938592,93.8592
7,13,701,100,1000000,71308,928692,92.8692,71308,928692,92.8692
7,13,809,100,1000000,82000,918000,91.8,82000,918000,91.8
7,13,907,100,1000000,91702,908298,90.8298,91702,908298,90.8298
7,13,991,100,1000000,100018,899982,89.9982,100018,899982,89.9982
7,13,997,100,1000000,100612,899388,89.9388,100612,899388,89.9388
7,13,1009,100,1000000,101800,898200,89.82,101800,898200,89.82
7,13,1511,100,1000000,151498,848502,84.8502,151498,848502,84.8502
7,13,1999,100,1000000,190900,809100,80.91,190900,809100,80.91
7,13,2003,100,1000000,190900,809100,80.91,190900,809100,80.91
7,13,2503,100,1000000,190900,809100,80.91,190900,809100,80.91
7,13,3001,100,1000000,190900,809100,80.91,190900,809100,80.91
7,13,4001,100,1000000,190900,809100,80.91,190900,809100,80.91
7,13,5003,100,1000000,190900,809100,80.91,190900,809100,80.91
7,13,6007,100,1000000,190900,809100,80.91,190900,809100,80.91
7,13,7001,100,1000000,190900,809100,80.91,190900,809100,80.91
7,13,8009,100,1000000,190900,809100,80.91,190900,809100,80.91
7,13,9001,100,1000000,190900,809100,80.91,190900,809100,80.91
7,13,10007,100,1000000,190900,809100,80.91,190900,809100,80.91
7,101,11,100,1000000,11722,988278,98.8278,11722,988278,98.8278
7,101,13,100,1000000,11908,988092,98.8092,11908,988092,98.8092
7,101,199,100,1000000,29792,970208,97.0208,29792,970208,97.0208
7,101,211,100,1000000,31150,968850,96.885,31150,968850,96.885
7,101,307,100,1000000,40482,959518,95.9518,40482,959518,95.9518
7,101,401,100,1000000,49786,950214,95.0214,49786,950214,95.0214
7,101,503,100,1000000,59886,940114,94.0114,59886,940114,94.0114
