5000,158,45,65,94,180,139,201,82,131,74,,
10000,131,353,262,151,255,251,155,999,1053,491,,
15000,431,200,372,1112,372,618,316,579,570,890,,
20000,941,1295,1348,1309,754,778,1187,1357,897,855,,
25000,855,460,926,938,663,705,946,1352,784,614,,
30000,2545,1264,3504,1446,1969,870,747,792,1480,2689,,
35000,2677,1405,1461,1616,6450,1257,1785,2709,1715,1932,,
40000,5900,1826,2761,1788,3732,1625,2749,1585,1625,1563,,
45000,1989,1773,3608,2080,2775,1912,2789,3562,1899,2852,,
50000,3338,1911,1852,1982,2057,3886,2122,5792,3185,5765,,
