5000,174,50,71,110,206,151,230,90,141,83,,
10000,145,395,292,168,273,278,174,1127,1166,528,,
15000,485,225,426,1244,408,664,352,640,639,989,,
20000,1028,1403,1513,1445,814,851,1317,1512,965,941,,
25000,953,505,1036,1032,718,752,1043,1459,855,675,,
30000,2798,1372,3938,1583,2190,942,816,862,1628,2891,,
35000,2902,1510,1599,1756,6979,1360,1934,2934,1831,2078,,
40000,6383,1993,2998,1972,3999,1761,2966,1737,1762,1677,,
45000,2123,1908,3873,2298,2973,2061,2999,3872,2060,3127,,
50000,3594,2082,2001,2188,2202,4180,2332,5946,3458,6169,,
