5000,126,39,55,77,146,112,157,66,107,62,,
10000,113,289,216,119,210,207,124,851,886,409,,
15000,324,148,282,853,275,456,242,445,426,667,,
20000,650,908,1000,911,525,527,875,966,614,594,,
25000,576,305,654,641,452,474,646,916,535,421,,
30000,1775,840,2442,978,1349,579,491,526,1007,1773,,
35000,1820,905,962,1070,4243,840,1220,1811,1115,1274,,
40000,3912,1192,1844,1211,2450,1052,1791,1048,1094,1039,,
45000,1287,1128,2367,1386,1802,1277,1864,2355,1275,1851,,
50000,2132,1265,1199,1335,1324,2490,1449,3607,2097,3748,,
