5000,126,37,54,77,144,114,161,68,106,61,,
10000,107,279,210,122,205,206,128,848,866,402,,
15000,319,142,276,864,273,465,235,431,432,652,,
20000,658,906,951,919,524,544,881,992,619,596,,
25000,573,297,623,618,446,460,638,901,534,419,,
30000,1728,840,2382,960,1311,557,482,509,1007,1782,,
35000,1795,919,982,1053,4280,828,1208,1791,1122,1246,,
40000,3921,1200,1841,1175,2482,1048,1775,1028,1057,1028,,
45000,1284,1154,2304,1370,1756,1262,1822,2314,1229,1851,,
50000,2128,1231,1219,1309,1293,2571,1393,3684,2055,3716,,
