5000,1899,1850,1853,1870,1914,1888,1921,1857,1887,1862,,
10000,1891,2005,1939,1898,1934,1926,1885,2247,2285,2030,,
15000,2034,1913,1985,2258,2002,2076,1948,2060,2053,2231,,
20000,2211,2289,2337,2294,2111,2131,2268,2347,2173,2180,,
25000,2169,2027,2189,2203,2070,2078,2207,2303,2124,2052,,
30000,2677,2244,3174,2344,2597,2162,2109,2128,2368,2721,,
35000,2718,2318,2344,2426,4107,2240,2507,2750,2454,2577,,
40000,3814,2518,2756,2514,3201,2414,2743,2397,2425,2373,,
45000,2585,2471,3125,2652,2759,2548,2754,3144,2548,2782,,
50000,3017,2566,2533,2612,2612,3296,2659,3667,2988,3731,,
