5000,174,49,60,104,206,139,239,87,127,77,,
10000,131,451,270,168,263,261,172,1212,1288,535,,
15000,537,225,460,1292,445,667,337,634,626,1156,,
20000,1193,1436,1570,1466,914,960,1320,1580,1112,1088,,
25000,1048,534,1173,1167,681,729,1190,1463,946,622,,
30000,2737,1282,4595,1618,2504,1039,789,940,1638,2850,,
35000,2827,1479,1588,2004,7519,1279,2259,2922,2078,2407,,
40000,6589,2248,2987,2242,4644,1935,2887,1754,1963,1686,,
45000,2412,2127,4521,2598,2910,2351,2955,4476,2342,3042,,
50000,4142,2342,2278,2444,2515,4869,2687,5906,3590,6146,,
