5000,133,40,50,83,163,113,205,68,103,60,,
10000,110,349,233,130,223,232,132,1135,1188,480,,
15000,393,166,335,1123,327,547,269,512,527,900,,
20000,902,1197,1296,1215,658,713,1149,1303,836,803,,
25000,778,373,863,864,539,567,884,1180,684,486,,
30000,2309,1085,3486,1287,1895,744,607,654,1339,2414,,
35000,2381,1218,1257,1474,6140,935,1652,2445,1522,1794,,
40000,5654,1662,2481,1631,3477,1403,2423,1395,1422,1335,,
45000,1777,1569,3341,1956,2448,1733,2466,3339,1742,2544,,
50000,3011,1703,1641,1814,1828,3583,1968,4993,2904,5237,,
