5000,137,40,48,86,166,111,186,70,100,61,,
10000,106,372,219,137,209,214,141,1007,1089,436,,
15000,409,166,340,1118,326,563,283,525,529,907,,
20000,913,1096,1233,1131,698,722,1027,1220,871,816,,
25000,759,411,953,941,521,559,954,1142,648,492,,
30000,2286,1048,3404,1284,1874,750,613,663,1347,2408,,
35000,2175,1118,1335,1518,6388,948,1739,2240,1587,1805,,
40000,5220,1742,2318,1726,3698,1552,2257,1350,1572,1314,,
45000,1900,1688,3585,2093,2294,1847,2356,3616,1855,2384,,
50000,2926,1697,1626,2017,2051,3598,2191,4862,2799,5080,,
